epoch;acc;loss
0;0.8325688084331128;0.5941206687087313
1;0.9151376141320675;0.4246441295387548
2;0.9197247711890334;0.27257674276281935
3;0.9357798165137615;0.18985090602975374
4;0.9541284403669725;0.14186614686879542
5;0.9655963302752294;0.10849219266701182
6;0.9724770636733518;0.09201645358986811
7;0.9747706416550033;0.07882968466216271
8;0.9770642196366547;0.07014632382250707
9;0.9793577981651376;0.06271614494878765
10;0.9839449541284404;0.056720405868297324
11;0.9862385321100917;0.0533079453701273
12;0.9862385321100917;0.04720428905560883
13;0.9862385321100917;0.043106751789877176
14;0.9862385321100917;0.039395131401444246
15;0.9885321100917431;0.03528747410265678
16;0.9885321100917431;0.032772591662242875
17;0.9885321100917431;0.03000213883372895
18;0.9908256880733946;0.02713382236420288
19;0.9931192660550459;0.024793221376016052
0;0.5000000005468316;0.6945701383669441
1;0.8853211020110944;0.5616869024180491
2;0.9334862390789417;0.4436423335600337
3;0.9334862396257733;0.3233252427446733
4;0.940366971383401;0.22427290951440093
5;0.9472477058751867;0.16115400140438604
6;0.9587155957834437;0.12728164638948003
7;0.9655963291815661;0.10631396614630288
8;0.9701834862385321;0.09195282395689859
9;0.9724770642201835;0.08087832267917351
10;0.9724770642201835;0.07255392873642641
11;0.9747706422018348;0.06476354358051348
12;0.9770642201834863;0.05882024421536047
13;0.979357797618306;0.05428461334027282
14;0.9839449530347771;0.049963966763894495
15;0.9839449535816087;0.04675387943146426
16;0.9839449535816087;0.04295162299494131
17;0.9862385321100917;0.04026153955369367
18;0.9862385321100917;0.03724658835269169
19;0.9862385321100917;0.03521554868394902
0;0.6330275229357798;0.6160878364099275
1;0.6697247700953702;0.4955144844470768
2;0.821100916884361;0.40203648586885643
3;0.9151376146788991;0.3227806214345704
4;0.9311926605504587;0.2529820665853833
5;0.944954128440367;0.18897689598689385
6;0.9564220183486238;0.1420072231680975
7;0.9633027511999148;0.11052071446672491
8;0.9770642196366547;0.09143284195606861
9;0.9839449541284404;0.07828087031567862
10;0.9862385315632601;0.06886847809367223
11;0.9885321100917431;0.06213656105442878
12;0.9862385321100917;0.05703126813430305
13;0.9862385321100917;0.05259993081963664
14;0.9862385315632601;0.049405593732628254
15;0.9862385321100917;0.04517535986635116
16;0.9862385321100917;0.04206985672679516
17;0.9862385321100917;0.03875010627227912
18;0.9862385321100917;0.03548404548334282
19;0.9885321100917431;0.03210204788440958
0;0.7339449541284404;0.6616135819242634
1;0.8899082557870708;0.5226704937602402
2;0.910550459262428;0.3762122419995999
3;0.9243119255118414;0.25584310799016863
4;0.9472477053283551;0.18597933759383106
5;0.958715595236612;0.14145213762007722
6;0.9655963302752294;0.11090621246247116
7;0.9678899077100491;0.09088601144628787
8;0.9747706416550033;0.07486587270684199
9;0.9793577981651376;0.063730581244881
10;0.9862385315632601;0.05630162987140341
11;0.9885321100917431;0.048978153701632395
12;0.9862385321100917;0.046049744266709054
13;0.9885321100917431;0.0404302181180464
14;0.9908256880733946;0.03693509918697383
15;0.9954128440366973;0.03405176139000906
16;0.9931192660550459;0.031905648665964056
17;0.9954128440366973;0.02930320917261303
18;0.9954128440366973;0.02661436246793478
19;0.9954128440366973;0.02441892723356365
0;0.8165137625615532;0.6050001213309961
1;0.9174311915668872;0.4523100705321776
2;0.9357798154200982;0.2994995726904738
3;0.9426605510055472;0.19460512602001157
4;0.9495412838568381;0.1403630760011323
5;0.9587155963302753;0.10870631585974212
6;0.963302752293578;0.08932836329854957
7;0.9724770636733518;0.07714487270477714
8;0.9816513755999574;0.06944492732712981
9;0.981651376146789;0.06153756257044066
10;0.981651376146789;0.05599522402663843
11;0.9839449541284404;0.05174604963955529
12;0.9839449541284404;0.047820156431594575
13;0.9862385321100917;0.043868840825872134
14;0.9885321100917431;0.04034556674027662
15;0.9885321095449116;0.037224279460283595
16;0.9908256880733946;0.03399060249602029
17;0.9908256880733946;0.03143111474538615
18;0.9908256880733946;0.02841477457929505
19;0.9908256880733946;0.02698787961394415
0;0.8142201834862385;0.5931855948693162
1;0.9059633016586304;0.4273534113660865
2;0.9243119276991678;0.2811914619502671
3;0.9426605504587156;0.186377260321324
4;0.9518348623853211;0.14163489885833286
5;0.9541284403669725;0.11413415695685859
6;0.9655963291815661;0.09629513200269926
7;0.9701834856917005;0.08479935176875614
8;0.9747706422018348;0.0770887523513595
9;0.981651376146789;0.07047904378503834
10;0.981651376146789;0.0661628413091012
11;0.9839449535816087;0.06032603486962275
12;0.9839449541284404;0.057950441665742376
13;0.9839449541284404;0.05290342175290672
14;0.9862385321100917;0.048976360640804704
15;0.9862385321100917;0.04686558711419412
16;0.9885321095449116;0.043090354343619915
17;0.9885321100917431;0.040517108737055316
18;0.9885321100917431;0.0372637540033651
19;0.9908256880733946;0.03676279471896657
0;0.7981651370678473;0.620747611063336
1;0.9036697247706422;0.4745029744205125
2;0.9288990820219757;0.32758955589128197
3;0.9334862379852785;0.22235319934306888
4;0.9495412844036697;0.16801440442373994
5;0.9541284403669725;0.13621949807766381
6;0.9655963297283977;0.11548569784798754
